question,intent,answer,language
මම මානසික සෞඛ්‍ය සහාය ලබා ගන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
සමනය කිරීම යන්නෙන් අදහස් කරන්නේ කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
ස්ථාවර රෝගයක් යන්නෙන් අදහස් කරන්නේ කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
රෝග ලක්ෂණ දිනපොතක් තබා ගන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පූර්ව සත්කාර සැලසුම් කිරීම යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ ප්‍රතිකාරය පිළිබඳව දැනුවත් තීරණයක් ගන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මොළයේ පිළිකා රෝගීන්ගේ ජීවන තත්ත්වය කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
පිළිකා සත්කාරක කාර්ය සාධන ලකුණු යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මගේ රැකවරණ කණ්ඩායම එකිනෙකා සමඟ සන්නිවේදනය කරන්නේ කෙසේද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
මොළයේ ගෙඩියක් සඳහා බහුවිධ කණ්ඩායමක් යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
ඉවසිලිවන්ත උපදේශකයෙකු යනු කුමක්ද?,general,ඔබේ ප්‍රතිකාර ගමන හරහා ඔබට සහාය වීමට ඔබේ සත්කාර කණ්ඩායම මෙහි සිටී. නිශ්චිත වෛද්‍ය ප්‍රශ්න සඳහා කරුණාකර ඔබේ වෛද්‍යවරයා අමතන්න සහ නියමිත වේලාවට සියලුම හමුවීම්වලට සහභාගී වන්න. උදව් සඳහා ඔබේ සත්කාරක කණ්ඩායම ඉල්ලා සිටීමට පසුබට නොවන්න.,si
